Animal_Type,Breed,Age_norm,Weight_norm,Duration_Days_norm,Body_Temperature_C_norm,Heart_Rate_norm,temp_deviation_norm,Appetite_Loss_bin,Vomiting_bin,Diarrhea_bin,Coughing_bin,Labored_Breathing_bin,Lameness_bin,Skin_Lesions_bin,Nasal_Discharge_bin,Eye_Discharge_bin,symptom_count,is_fever,high_heart_rate,Gender_bin,Breed_encoded,animal_Cat,animal_Cow,animal_Dog,animal_Goat,animal_Horse,animal_Pig,animal_Rabbit,animal_Sheep,Disease_Prediction,Disease_ID
Dog,Labrador,0.2,0.0283,0.0833,0.6111,0.5263,0.6111,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,Parvovirus,109
Cat,Siamese,0.0667,0.0041,0.4167,0.2778,0.8421,0.2778,0,0,0,1,0,0,0,1,1,3,0,1,0,1,1,0,0,0,0,0,0,0,Upper Respiratory Infection,136
Cow,Holstein,0.1333,0.7055,0.25,0.9444,0.2105,0.9444,1,0,0,1,1,0,0,1,0,4,1,0,0,2,0,1,0,0,0,0,0,0,Foot and Mouth Disease,86
Dog,Beagle,0.0,0.0106,0.0,0.4444,0.6316,0.4444,1,1,1,0,0,0,0,0,0,3,0,1,1,3,0,0,1,0,0,0,0,0,Gastroenteritis,90
Cat,Persian,0.2667,0.0033,1.0,0.1667,0.9474,0.1667,1,0,0,0,0,0,1,0,0,2,0,1,1,4,1,0,0,0,0,0,0,0,Fungal Infection,89
Horse,Thoroughbred,0.3333,0.5878,0.6667,0.7778,0.1579,0.7778,1,0,0,1,1,0,0,1,0,4,1,0,0,5,0,0,0,0,1,0,0,0,Equine Influenza,55
Dog,German Shepherd,0.1333,0.0342,0.4167,0.5,0.4211,0.5,1,0,0,0,0,1,1,0,0,3,0,0,0,6,0,0,1,0,0,0,0,0,Lyme Disease,103
Cat,Maine Coon,0.0667,0.0059,0.1667,0.3889,0.7368,0.3889,1,1,1,0,0,0,0,0,0,3,0,1,1,7,1,0,0,0,0,0,0,0,Intestinal Parasites,98
Dog,Bulldog,0.2667,0.0259,0.3333,0.8889,0.4737,0.8889,1,0,0,1,1,0,0,1,0,4,1,0,1,8,0,0,1,0,0,0,0,0,Canine Distemper,24
Cow,Jersey,0.2,0.682,0.5,0.6667,0.0,0.6667,1,0,0,0,0,0,0,0,0,1,1,0,0,9,0,1,0,0,0,0,0,0,Mastitis,105
Cat,Siamese,0.1333,0.0047,0.25,0.3333,0.6316,0.3333,1,1,0,0,0,0,1,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,Panleukopenia,108
Dog,Poodle,0.0667,0.013,0.1667,0.5556,0.4737,0.5556,1,1,0,1,0,0,0,0,0,3,0,0,0,10,0,0,1,0,0,0,0,0,Kennel Cough,100
Cat,Bengal,0.0,0.0038,0.0833,0.2222,0.7368,0.2222,1,1,1,0,0,0,0,0,0,3,0,1,1,11,1,0,0,0,0,0,0,0,Panleukopenia,108
Horse,Arabian,0.4667,0.576,0.4167,0.8333,0.0526,0.8333,1,0,0,1,0,1,0,1,0,4,1,0,0,12,0,0,0,0,1,0,0,0,Strangles,128
Cow,Hereford,0.2667,0.7644,0.25,0.7222,0.1053,0.7222,1,0,0,0,0,0,0,0,0,1,1,0,1,13,0,1,0,0,0,0,0,0,Bovine Respiratory Disease,18
Dog,Chihuahua,0.2,0.0029,0.0,0.3889,0.6316,0.3889,1,1,1,1,0,0,0,0,0,4,0,1,0,14,0,0,1,0,0,0,0,0,Canine Parvovirus,31
Cat,Ragdoll,0.1333,0.0047,0.6667,0.1111,0.8947,0.1111,1,1,0,0,0,0,1,0,0,3,0,1,1,15,1,0,0,0,0,0,0,0,Ringworm,123
Dog,Siberian Husky,0.3333,0.0318,0.5,0.5,0.5263,0.5,1,0,0,0,0,1,1,0,0,3,0,0,1,16,0,0,1,0,0,0,0,0,Tick-Borne Disease,134
Horse,Clydesdale,0.6,0.8233,1.0,1.0,0.1579,1.0,1,0,0,1,1,0,0,1,0,4,1,0,1,17,0,0,0,0,1,0,0,0,Equine Influenza,55
Cat,British Shorthair,0.2667,0.0045,0.4167,0.3333,0.8421,0.3333,0,0,0,1,1,0,0,1,1,4,0,1,0,18,1,0,0,0,0,0,0,0,Upper Respiratory Infection,136
Cow,Angus,0.1333,0.6938,0.4167,0.6111,0.0,0.6111,1,0,0,0,0,0,0,0,0,1,0,0,0,19,0,1,0,0,0,0,0,0,Mastitis,105
